Country,City,Exec_Date,type,Today,Tomorrow,2-days,3-days,4-days,5-days,6-days
Algeria,Algiers,5/2/2024,avg,16.97200012,16.42200041,17.24700022,19.49700069,21.0720005,18.22200012,18.4180007
Algeria,Algiers,5/3/2024,max,22.0720005,24.17200089,26.97200012,26.97200012,21.02200127,22.16800117,20.26799965
Algeria,Algiers,5/3/2024,min,11.87199974,11.27200031,12.62199974,15.57199955,14.47200012,14.07199955,15.66800022
Algeria,Algiers,5/3/2024,avg,16.97200012,17.7220006,19.79699993,21.27199984,17.74700069,18.12000036,17.96799994
Algeria,Algiers,5/4/2024,max,23.97200012,26.77200127,28.37200165,23.42200089,22.47200012,20.16800117,21.36800003
Algeria,Algiers,5/4/2024,min,10.92199993,11.72200012,14.97200012,14.32199955,12.62199974,13.67199993,15.7680006
Algeria,Algiers,5/4/2024,avg,17.44700003,19.24700069,21.67200089,18.87200022,17.54699993,16.92000055,18.56800032
Algeria,Algiers,5/5/2024,max,26.62200165,24.47200012,23.02200127,21.87200165,21.52200127,21.21800041,24.71800041
Algeria,Algiers,5/5/2024,min,11.92199993,14.32199955,14.32199955,13.37199974,11.42199993,13.77200031,16.86800003
Algeria,Algiers,5/5/2024,avg,19.27200079,19.39699984,18.67200041,17.62200069,16.4720006,17.49500036,20.79300022
Algeria,Algiers,5/6/2024,max,25.5720005,22.67200089,21.22200012,22.3220005,23.27200127,27.16800117,24.16800117
Algeria,Algiers,5/6/2024,min,14.27200031,14.97200012,13.92199993,11.37199974,11.92199993,15.72200012,17.81800079
Algeria,Algiers,5/6/2024,avg,19.92200041,18.8220005,17.57200003,16.84700012,17.5970006,21.44500065,20.99300098
Algeria,Algiers,5/7/2024,max,23.02200127,21.92200089,22.0720005,22.72200012,24.62200165,22.61800003,23.36800003
Algeria,Algiers,5/7/2024,min,15.87199974,13.97200012,12.72200012,12.97200012,14.07199955,16.8220005,17.81800079
Algeria,Algiers,5/7/2024,avg,19.4470005,17.9470005,17.39700031,17.84700012,19.3470006,19.72000027,20.59300041
American Samoa,Pago Pago,4/24/2024,max,30.15450096,29.75449944,29.7045002,29.7045002,29.80450058,30.05450058,29.9545002
American Samoa,Pago Pago,4/24/2024,min,27.80450058,27.85449982,27.35449982,27.25449944,28.00449944,27.80450058,28.10449982
American Samoa,Pago Pago,4/24/2024,avg,28.97950077,28.80449963,28.52950001,28.47949982,28.90450001,28.92950058,29.02950001
American Samoa,Pago Pago,4/25/2024,max,29.60449982,30.00449944,29.75449944,29.90450096,30.00449944,29.65450096,29.25449944
American Samoa,Pago Pago,4/25/2024,min,28.15450096,27.55450058,27.7045002,27.4545002,27.80450058,28.00449944,27.90450096
American Samoa,Pago Pago,4/25/2024,avg,28.87950039,28.77950001,28.72949982,28.67950058,28.90450001,28.8295002,28.5795002
American Samoa,Pago Pago,4/26/2024,max,30.10449982,29.60449982,29.60449982,29.65450096,29.50449944,29.10449982,29.4545002
American Samoa,Pago Pago,4/26/2024,min,27.9545002,27.7045002,27.4545002,27.85449982,27.80450058,28.10449982,27.7045002
American Samoa,Pago Pago,4/26/2024,avg,29.02950001,28.65450001,28.52950001,28.75450039,28.65450001,28.60449982,28.5795002
American Samoa,Pago Pago,4/27/2024,max,29.7045002,30.00449944,30.15450096,29.9545002,30.10449982,29.65450096,29.2045002
American Samoa,Pago Pago,4/27/2024,min,27.25449944,27.9545002,27.55450058,27.40450096,28.15450096,27.4545002,27.25449944
American Samoa,Pago Pago,4/27/2024,avg,28.47949982,28.97949982,28.85450077,28.67950058,29.12950039,28.55450058,28.22949982
American Samoa,Pago Pago,4/28/2024,max,29.30450058,29.65450096,29.55450058,30.05450058,30.05450058,29.25449944,29.40450096
American Samoa,Pago Pago,4/28/2024,min,27.65450096,27.7045002,27.4545002,28.60449982,27.50449944,27.60449982,27.65450096
American Samoa,Pago Pago,4/28/2024,avg,28.47950077,28.67950058,28.50450039,29.3295002,28.77950001,28.42949963,28.52950096
American Samoa,Pago Pago,4/29/2024,max,30.2045002,29.50449944,29.50449944,29.65450096,29.55450058,29.60449982,29.80450058
American Samoa,Pago Pago,4/29/2024,min,27.65450096,27.40450096,27.85449982,27.85449982,27.4545002,27.55450058,27.75449944
American Samoa,Pago Pago,4/29/2024,avg,28.92950058,28.4545002,28.67949963,28.75450039,28.50450039,28.5795002,28.77950001
American Samoa,Pago Pago,4/30/2024,max,28.85449982,29.9545002,29.90450096,28.90450096,29.30450058,29.4545002,29.25449944
American Samoa,Pago Pago,4/30/2024,min,27.35449982,28.30450058,27.7045002,27.7045002,27.60449982,27.55450058,27.40450096
American Samoa,Pago Pago,4/30/2024,avg,28.10449982,29.12950039,28.80450058,28.30450058,28.4545002,28.50450039,28.3295002
American Samoa,Pago Pago,5/1/2024,max,30.05450058,30.05450058,28.85449982,29.75449944,29.85449982,29.85449982,30.05450058
American Samoa,Pago Pago,5/1/2024,min,28.05450058,28.05450058,27.60449982,27.55450058,27.65450096,27.60449982,27.9545002
American Samoa,Pago Pago,5/1/2024,avg,29.05450058,29.05450058,28.22949982,28.65450001,28.75450039,28.72949982,29.00450039
American Samoa,Pago Pago,5/2/2024,max,29.85449982,29.30450058,29.85449982,29.75449944,29.2045002,29.85449982,29.55450058
American Samoa,Pago Pago,5/2/2024,min,27.80450058,27.4545002,27.60449982,27.60449982,27.60449982,28.00449944,27.75449944
American Samoa,Pago Pago,5/2/2024,avg,28.8295002,28.37950039,28.72949982,28.67949963,28.40450001,28.92949963,28.65450001
American Samoa,Pago Pago,5/3/2024,max,29.10449982,29.60449982,29.65450096,29.00449944,29.85449982,29.55450058,29.35449982
American Samoa,Pago Pago,5/3/2024,min,27.40450096,27.60449982,27.60449982,27.7045002,28.15450096,27.75449944,27.55450058
American Samoa,Pago Pago,5/3/2024,avg,28.25450039,28.60449982,28.62950039,28.35449982,29.00450039,28.65450001,28.4545002
American Samoa,Pago Pago,5/4/2024,max,29.80450058,28.9545002,29.80450058,29.85449982,30.05450058,29.75449944,29.60449982
American Samoa,Pago Pago,5/4/2024,min,27.7045002,27.85449982,27.9545002,27.90450096,27.9545002,27.80450058,27.05450058
American Samoa,Pago Pago,5/4/2024,avg,28.75450039,28.40450001,28.87950039,28.87950039,29.00450039,28.77950001,28.3295002
American Samoa,Pago Pago,5/5/2024,max,28.9545002,29.35449982,30.15450096,30.10449982,28.90450096,28.30450058,28.35449982
American Samoa,Pago Pago,5/5/2024,min,27.55450058,27.90450096,28.2045002,27.75449944,27.75449944,27.35449982,26.9545002
American Samoa,Pago Pago,5/5/2024,avg,28.25450039,28.62950039,29.17950058,28.92949963,28.3295002,27.8295002,27.65450001
American Samoa,Pago Pago,5/6/2024,max,28.85449982,30.15450096,30.15450096,29.15450096,28.9545002,28.30450058,28.50449944
American Samoa,Pago Pago,5/6/2024,min,27.90450096,28.25449944,28.05450058,27.40450096,27.10449982,27.00449944,27.2045002
